Lp.;Nazwa Muzeum;Kod pocztowy;MiejscowoúÊ;Gmina;Powiat;WojewÛdztwo;ul./Aleja/Plac/;Ulica;Numer domu;Numer lokalu;Kod pocztowy (adres pocztowy jeúli nie wystÍpuje w komÛrkach C1-G1);MiejscoúÊ (adres dodatkowy );ul./Aleja/Plac (adres dodatkowy);Ulica i numer domu (adres dodatkowy);Numer domu (adres dodatkowy;Numer lokalu (adres dodatkowy);Nazwa Organizatora/ Za≥oøyciela;Nazwa Organizatora I/ Za≥oøyciela;Nazwa Organizatora II/ Za≥oøyciela;Nazwa Organizatora III/ Za≥oøyciela;Data wpisu do PaÒstwowego Rejestru MuzeÛw (dotyczy Muzeum wpisanego do PaÒstwowego Rejestru MuzeÛw);Status muzeum;Data wykreúlenia z rejestru;zakoÒczenie procesu organizacji
800;Muzeum KomputerÛw i Gier w Warszawie (w organizacji);00-609;Warszawa;m.st. Warszawa;m. st. Warszawa;MAZOWIECKIE;al.;Niepodleg≥oúci;208A;;;;;;;;Warszawskie Muzeum KomputerÛw i Gier sp. z o.o.;;;;;Utworzone przez osoby prawne;;
801;Muzeum Komunikacji w Warszawie (w†organizacji) ;03-309;Warszawa;Warszawa (TargÛwek);m. st. Warszawa;MAZOWIECKIE;ul.;Poøarowa;2;;;;;;;;Fundacja Heredis ;;;;;Utworzone przez osoby prawne;;
802;Muzeum Koronki Koniakowskiej w Koniakowie (w organizacji);43-474;KoniakÛw;Istebna;cieszyÒski;åL•SKIE;;KoniakÛw;704;;;;;;;;Fundacja Koronki Koniakowskiej;;;;;Utworzone przez osoby prawne;;
803;Muzeum Ksiπøki Artystycznej w £odzi;90-349;£Ûdü;£Ûdü (£Ûdü-Widzew);m. £Ûdü;£”DZKIE;ul.;Tymienieckiego;24;;;;;;;;Fundacja Correspondance des Arts;;;;;Utworzone przez osoby prawne;;
804;Muzeum Kultury £emkowskiej w Zyndranowej;38-454;Tylawa;Dukla;kroúnieÒski;PODKARPACKIE;;Zyndranowa;1;;;;;;;;Towarzystwo na Rzecz Rozwoju Muzeum Kultury £emkowskiej;;;;;Utworzone przez osoby prawne;;
805;Muzeum Lokalne Kolejki Szprotawskiej w Zielonej GÛrze (w organizacji);65-462;Zielona GÛra;Zielona GÛra;m. Zielona GÛra;LUBUSKIE;ul.;Ogrodowa;3c;;;;;;;;Polskie Towarzystwo Krajoznawcze;;;;;Utworzone przez osoby prawne;;
806;Muzeum Lotnictwa i Techniki Militarnej w Rogowie;72-330;Rogowo,;Mrzeøyno;gryficki;ZACHODNIOPOMORSKIE;;Rogowo;376;41;;;;;;;Fundacja na rzecz Ochrony ZabytkÛw militarnych i propagowania sportÛw lotniczych ,,Fort-Rogowoî z siedzibπ w†Rogowie;;;;;Utworzone przez osoby prawne;;
807;Muzeum Lotnictwa Ziemi åwidwiÒskiej (w organizacji);78-300;åwidwin;åwidwin;úwidwiÒski;ZACHODNIOPOMORSKIE;ul.;Niedzia≥kowskiego;17;;;;;;;;Stowarzyszenie PrzyjaciÛ≥ Lotniska Wojskowego åwidwin z siedzibπ w åwidwinie;;;;;Utworzone przez osoby prawne;;
808;Muzeum Lotnicze w GÛraszce;05-462;GÛraszka Gm. Wiπzowna ;Wiπzowna;otwocki;MAZOWIECKIE;;Lotnisko GÛraszka;;;;;;;;;Fundacja ÑPolskie Or≥yî;;;;;Utworzone przez osoby prawne;;
809;Muzeum Lwowa i KresÛw Po≥udniowo-Wschodnich (w organizacji);96-325;Radziejowice;Radziejowice;øyrardowski;MAZOWIECKIE;;KuklÛwka Radziejowicka;23A;;;;;;;;Fundacja LwÛw i Kresy Po≥udniowo-Wschodnie;;;;;Utworzone przez osoby prawne;;
